File Name,Size (KB),Type,Modified Time,Path
AMRUTHA.rtf,1.01,.rtf,2024-10-19 16:17:29.261025,C:\Users\Rakshitha\OneDrive\Documents\AMRUTHA.rtf
Based on your requested slide structure and referring to the research paper.docx,20.97,.docx,2025-04-24 20:37:06.000000,C:\Users\Rakshitha\OneDrive\Documents\Based on your requested slide structure and referring to the research paper.docx
black thar lover.rtf,0.77,.rtf,2024-12-15 11:44:34.367303,C:\Users\Rakshitha\OneDrive\Documents\black thar lover.rtf
BLEND & BOND FEST 2024.docx,13.95,.docx,2024-10-22 11:41:34.169860,C:\Users\Rakshitha\OneDrive\Documents\BLEND & BOND FEST 2024.docx
Data.docx,14.96,.docx,2025-04-17 11:44:25.000000,C:\Users\Rakshitha\OneDrive\Documents\Data.docx
desktop.ini,0.41,.ini,2025-05-21 09:07:48.517506,C:\Users\Rakshitha\OneDrive\Documents\desktop.ini
Doc1.docx,24.49,.docx,2024-11-21 13:39:54.894629,C:\Users\Rakshitha\OneDrive\Documents\Doc1.docx
Document.rtf,0.63,.rtf,2024-01-07 14:13:10.981080,C:\Users\Rakshitha\OneDrive\Documents\Document.rtf
Features of matplotlib.docx,40.09,.docx,2025-05-23 15:53:43.000000,C:\Users\Rakshitha\OneDrive\Documents\Features of matplotlib.docx
Here is a seminar content outline based on the document.docx,18.01,.docx,2025-03-25 09:26:51.000000,C:\Users\Rakshitha\OneDrive\Documents\Here is a seminar content outline based on the document.docx
manifisting.docx,1335.84,.docx,2025-04-18 23:22:42.000000,C:\Users\Rakshitha\OneDrive\Documents\manifisting.docx
manifisting.pdf,559.75,.pdf,2025-04-18 23:23:20.000000,C:\Users\Rakshitha\OneDrive\Documents\manifisting.pdf
modeldownloding.txt,4.77,.txt,2024-06-15 11:56:43.556024,C:\Users\Rakshitha\OneDrive\Documents\modeldownloding.txt
names.docx,18.92,.docx,2025-04-24 23:16:16.000000,C:\Users\Rakshitha\OneDrive\Documents\names.docx
Normalization.docx,13.26,.docx,2025-04-21 16:12:12.911598,C:\Users\Rakshitha\OneDrive\Documents\Normalization.docx
Presentation1 (1).pptx,36.42,.pptx,2024-07-14 17:59:42.000000,C:\Users\Rakshitha\OneDrive\Documents\Presentation1 (1).pptx
Presentation1.pptx,553.68,.pptx,2025-02-11 14:00:29.000000,C:\Users\Rakshitha\OneDrive\Documents\Presentation1.pptx
RAKSHUMINIPROJECT.docx,17.36,.docx,2024-06-11 20:23:59.345905,C:\Users\Rakshitha\OneDrive\Documents\RAKSHUMINIPROJECT.docx
seminar.docx,22.52,.docx,2025-03-21 07:14:57.000000,C:\Users\Rakshitha\OneDrive\Documents\seminar.docx
stepbystep.txt,5.93,.txt,2024-06-15 11:57:22.837070,C:\Users\Rakshitha\OneDrive\Documents\stepbystep.txt
summry.txt,2.96,.txt,2024-06-15 11:57:02.517534,C:\Users\Rakshitha\OneDrive\Documents\summry.txt
thecode.txt,2.1,.txt,2024-06-15 11:56:20.550843,C:\Users\Rakshitha\OneDrive\Documents\thecode.txt
theidea.txt,3.81,.txt,2024-06-15 11:56:09.943892,C:\Users\Rakshitha\OneDrive\Documents\theidea.txt
Untitled Diagram.drawio,12.17,.drawio,2024-10-22 11:51:45.568581,C:\Users\Rakshitha\OneDrive\Documents\Untitled Diagram.drawio
Untitled1.cpp,0.1,.cpp,2024-01-30 13:55:34.717113,C:\Users\Rakshitha\OneDrive\Documents\Untitled1.cpp
update users set registration.docx,12.99,.docx,2025-05-01 19:53:47.435888,C:\Users\Rakshitha\OneDrive\Documents\update users set registration.docx
wsproject.txt,31.52,.txt,2024-11-27 20:00:32.815100,C:\Users\Rakshitha\OneDrive\Documents\wsproject.txt
SupportAssistChatBot.dat,0.0,.dat,2024-07-03 09:34:20.744797,C:\Users\Rakshitha\OneDrive\Documents\Dell\SupportAssist\SupportAssistChatBot.dat
